"Creator";"From_Name";"From_ID";"From_Revision";"From_Number";"To_Name";"To_ID";"To_Revision";"From_Number";"Created_On";"Type";"From_Version";"To_Version"
"Dokumentablage, Company, think project!";"ToniTest";"CMC-00164-01-V-001";"01";"CMC-00164";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105";"";"";"1";"1"
"Dokumentablage, Company, think project!";"ToniTest";"CMC-00165-01-V-001";"01";"CMC-00165";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"ToniTest";"CMC-00165-01-V-001";"01";"CMC-00165";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105";"";"";"1";"1"
"Dokumentablage, Company, think project!";"ToniTest5";"CMC-00171-01-V-001";"01";"CMC-00171";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"ToniTest5";"CMC-00172-01-V-001";"01";"CMC-00172";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"ToniTest";"CMC-00173-01-V-001";"01";"CMC-00173";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"ToniTest";"CMC-00179-01-V-001";"01";"CMC-00179";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"ToniTest";"CMC-00179-01-V-001";"01";"CMC-00179";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007";"";"";"1";"4"
"Dokumentablage, Company, think project!";"ToniTest";"CMC-00185-01-V-001";"01";"CMC-00185";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105";"";"";"1";"1"
"Dokumentablage, Company, think project!";"ToniTest";"CMC-00187-01-V-001";"01";"CMC-00187";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
